"Definiton","Users who have initiated at least one session during the date range. ","","","","","","","","","","","","","",""
"Day Index","Users","Direct Users","Organic Search","Referral Users","Paid search","Social","Page Views","Sessions","Unique Purchases","Revenue USD","Transactions","Avg. Order Value USD","E-commerce Conversion Rate","",""
"22/04/2018","2,049","308","937","282","76","422","9,275","2,304","106","18,025.45","64","282","2.78%","",""
"23/04/2018","3,052","526","1,282","642","50","510","14,764","3,428","207","23,106.23","113","204","3.30%","",""
"24/04/2018","3,025","567","1,347","570","36","444","13,735","3,347","169","19,791.32","81","244","2.42%","",""
"25/04/2018","2,985","513","1,267","545","40","576","13,237","3,318","148","17,569.49","80","220","2.41%","",""
"26/04/2018","3,030","633","1,234","561","49","439","14,228","3,429","175","19,064.05","79","241","2.30%","",""
"27/04/2018","2,563","423","1,080","484","80","479","10,845","2,843","109","13,935.05","71","196","2.50%","",""
"28/04/2018","1,903","264","868","198","90","408","8,262","2,088","65","8,351.04","38","220","1.82%","",""
"29/04/2018","1,916","292","801","236","76","443","8,898","2,119","107","17,441.73","62","281","2.93%","",""
"30/04/2018","2,706","432","1,165","571","69","433","13,840","3,067","229","25,735.12","107","241","3.49%","",""
"01/05/2018","2,801","504","1,205","535","28","447","12,979","3,121","148","17,242.67","78","221","2.50%","",""
"02/05/2018","3,011","605","1,293","545","24","494","13,357","3,360","177","20,474.35","81","253","2.41%","",""
"03/05/2018","3,084","566","1,404","575","17","463","14,202","3,448","155","17,372.53","70","248","2.03%","",""
"04/05/2018","2,744","517","1,316","472","22","412","12,611","3,105","108","16,088.23","73","220","2.35%","",""
"05/05/2018","1,871","297","924","217","24","401","8,411","2,101","111","11,236.32","51","220","2.43%","",""
"06/05/2018","1,967","273","967","253","23","422","9,110","2,170","112","16,582.31","59","281","2.72%","",""
"07/05/2018","2,957","506","1,391","591","21","430","14,022","3,307","224","24,165.96","122","198","3.69%","",""
"08/05/2018","3,642","765","1,833","588","34","401","16,406","4,078","208","19,175.04","88","218","2.16%","",""
"09/05/2018","3,380","641","1,716","510","53","430","16,945","3,807","195","17,597.99","97","181","2.55%","",""
"10/05/2018","3,655","651","1,979","528","59","397","19,020","4,160","227","21,228.06","110","193","2.64%","",""
"11/05/2018","2,761","437","1,459","440","52","366","12,882","3,097","162","20,493.48","74","277","2.39%","",""
"12/05/2018","2,050","352","1,060","175","46","405","8,820","2,268","37","5,531.80","27","205","1.19%","",""
"13/05/2018","1,975","273","1,020","214","55","402","9,037","2,163","54","8,900.48","43","207","1.99%","",""
"14/05/2018","3,033","553","1,394","618","39","412","14,988","3,368","190","20,527.63","99","207","2.94%","",""
"15/05/2018","2,957","469","1,420","561","41","408","14,089","3,313","131","13,597.27","65","209","1.96%","",""
"16/05/2018","2,907","471","1,419","517","43","431","13,769","3,266","145","16,681.85","83","201","2.54%","",""
"17/05/2018","3,119","731","1,450","517","45","354","16,262","3,612","248","13,037.19","156","84","4.32%","",""
"18/05/2018","2,792","758","1,188","477","51","329","16,123","3,142","334","14,933.57","216","69","6.87%","",""
"19/05/2018","1,814","390","834","215","53","330","8,978","2,002","136","7,714.27","86","90","4.30%","",""
"20/05/2018","1,853","308","927","231","43","328","8,704","2,054","109","9,151.49","72","127","3.51%","",""
"21/05/2018","2,886","620","1,229","583","39","364","15,798","3,290","236","17,139.14","155","111","4.71%","",""
"22/05/2018","3,320","1,012","1,332","591","44","320","20,719","3,762","449","17,489.15","338","52","8.98%","",""
